onset	duration	trial_type	value
17.977344	10	Left	1
29.761536	10	Right	1
46.87872	10	Right	1
62.447616	10	Left	1
78.876672	10	Left	1
93.155328	10	Left	1
104.595456	10	Right	1
119.648256	10	Right	1
136.851456	10	Left	1
153.96864	10	Left	1
165.666816	10	Left	1
184.418304	10	Right	1
200.159232	10	Right	1
214.60992	10	Left	1
235.597824	10	Right	1
251.682816	10	Right	1
267.337728	10	Left	1
278.777856	10	Right	1
296.239104	10	Left	1
309.22752	10	Left	1
329.527296	10	Left	1
344.92416	10	Right	1
358.68672	10	Right	1
374.513664	10	Right	1
388.190208	10	Right	1
408.662016	10	Left	1
420.360192	10	Left	1
436.875264	10	Left	1
456.31488	10	Right	1
471.36768	10	Right	1
