name	type	x	y	z
S1	source	-77.817871	15.680613999999998	23.172269999999997
S2	source	-61.906841	21.227732000000003	56.492802
S3	source	-85.37146	-16.079958	8.900885
S4	source	-78.861458	-11.329086	47.312397
S5	source	-55.93306	-10.104585	78.64212
S6	source	-82.166077	-46.860634000000005	32.168797
S7	source	-69.146927	-43.592991	67.332977
S8	source	76.957039	17.209915	25.911490999999998
S9	source	59.890228	21.006973	59.417912
S10	source	85.255341	-16.47333	13.251704
S11	source	77.488449	-11.544805999999998	51.17981
S12	source	51.588364	-8.863601	81.896713
S13	source	81.395172	-47.937302	35.806625
S14	source	65.16626	-42.345879	72.666153
D1	detector	-79.33046	14.770763	3.849919
D2	detector	-71.997955	19.118574	40.321715999999995
D3	detector	-49.283218	21.24416	71.285049
D4	detector	-82.23578599999999	0.767161	15.871445
D5	detector	-78.842712	2.687199	35.798969
D6	detector	-71.493355	5.057629	52.85037199999999
D7	detector	-59.341736	5.347515	69.017868
D8	detector	-83.485596	-13.350933000000001	29.137487
D9	detector	-69.51458	-9.433378	63.695175
D10	detector	-85.468147	-32.135494	19.928967
D11	detector	-83.07093800000001	-30.037916	41.066177
D12	detector	-76.532303	-27.284718000000005	58.847919
D13	detector	-64.151077	-25.901278999999995	74.815781
D14	detector	-83.092003	-48.811234	13.095161
D15	detector	-78.109566	-45.552494	50.094318
D16	detector	-55.05054100000001	-42.704697	82.804642
D17	detector	79.34301	14.946275	6.943406000000001
D18	detector	70.362465	18.740864	44.081322
D19	detector	46.346892999999994	21.988934	73.433914
D20	detector	82.054848	0.35996	20.059235
D21	detector	78.030869	3.095405	38.621746
D22	detector	69.094673	4.354516	57.000801
D23	detector	56.270317	6.462909	71.735115
D24	detector	83.084488	-14.127043	32.711578
D25	detector	65.750114	-9.046515	68.227234
D26	detector	84.956268	-32.274082	24.851321999999996
D27	detector	82.27500899999998	-30.067808	44.21382899999999
D28	detector	73.957565	-26.714191	63.147041
D29	detector	60.380882	-25.290056	78.325027
D30	detector	82.780792	-49.549717	16.625692
D31	detector	76.153107	-44.676395	55.132278
D32	detector	51.805321	-41.785065	85.572914
